Shiller Book Date,Shiller Book Index,SandP Date,SandP Case Shiller,Composite Date,Composite Index
3/4/1905,3.56,,,1/1/1890,3.56
3/5/1905,3.21,,,1/1/1891,3.21
3/6/1905,3.27,,,1/1/1892,3.27
3/7/1905,3.41,,,1/1/1893,3.41
3/8/1905,3.97,,,1/1/1894,3.97
3/9/1905,3.60,,,1/1/1895,3.60
3/10/1905,3.12,,,1/1/1896,3.12
3/11/1905,3.22,,,1/1/1897,3.22
3/12/1905,3.43,,,1/1/1898,3.43
3/13/1905,3.28,,,1/1/1899,3.28
3/14/1905,3.75,,,1/1/1900,3.75
3/15/1905,3.15,,,1/1/1901,3.15
3/16/1905,3.71,,,1/1/1902,3.71
3/17/1905,3.77,,,1/1/1903,3.77
3/18/1905,3.94,,,1/1/1904,3.94
3/19/1905,3.45,,,1/1/1905,3.45
3/20/1905,4.10,,,1/1/1906,4.10
3/21/1905,4.52,,,1/1/1907,4.52
3/22/1905,4.08,,,1/1/1908,4.08
3/23/1905,3.99,,,1/1/1909,3.99
3/24/1905,4.31,,,1/1/1910,4.31
3/25/1905,4.21,,,1/1/1911,4.21
3/26/1905,4.37,,,1/1/1912,4.37
3/27/1905,4.37,,,1/1/1913,4.37
3/28/1905,4.53,,,1/1/1914,4.53
3/29/1905,4.16,,,1/1/1915,4.16
3/30/1905,4.56,,,1/1/1916,4.56
3/31/1905,4.65,,,1/1/1917,4.65
4/1/1905,4.94,,,1/1/1918,4.94
4/2/1905,5.44,,,1/1/1919,5.44
4/3/1905,5.96,,,1/1/1920,5.96
4/4/1905,5.83,,,1/1/1921,5.83
4/5/1905,5.91,,,1/1/1922,5.91
4/6/1905,5.99,,,1/1/1923,5.99
4/7/1905,6.01,,,1/1/1924,6.01
4/8/1905,6.32,,,1/1/1925,6.32
4/9/1905,6.06,,,1/1/1926,6.06
4/10/1905,5.84,,,1/1/1927,5.84
4/11/1905,5.92,,,1/1/1928,5.92
4/12/1905,5.80,,,1/1/1929,5.80
4/13/1905,5.55,,,1/1/1930,5.55
4/14/1905,5.10,,,1/1/1931,5.10
4/15/1905,4.57,,,1/1/1932,4.57
4/16/1905,4.39,,,1/1/1933,4.39
4/17/1905,4.52,,,1/1/1934,4.52
4/18/1905,4.96,,,1/1/1935,4.96
4/19/1905,5.12,,,1/1/1936,5.12
4/20/1905,5.25,,,1/1/1937,5.25
4/21/1905,5.21,,,1/1/1938,5.21
4/22/1905,5.14,,,1/1/1939,5.14
4/23/1905,5.31,,,1/1/1940,5.31
4/24/1905,4.86,,,1/1/1941,4.86
4/25/1905,5.03,,,1/1/1942,5.03
4/26/1905,5.60,,,1/1/1943,5.60
4/27/1905,6.53,,,1/1/1944,6.53
4/28/1905,7.30,,,1/1/1945,7.30
4/29/1905,9.06,,,1/1/1946,9.06
4/30/1905,10.99,,,1/1/1947,10.99
5/1/1905,11.21,,,1/1/1948,11.21
5/2/1905,11.22,,,1/1/1949,11.22
5/3/1905,11.63,,,1/1/1950,11.63
5/4/1905,12.33,,,1/1/1951,12.33
5/5/1905,12.88,,,1/1/1952,12.88
5/6/1905,14.26,,,1/1/1953,14.26
5/6/1905,14.26,,,2/1/1953,14.26
5/6/1905,14.26,,,3/1/1953,14.26
5/6/1905,14.29,,,4/1/1953,14.29
5/6/1905,14.31,,,5/1/1953,14.31
5/6/1905,14.31,,,6/1/1953,14.31
5/6/1905,14.34,,,7/1/1953,14.34
5/6/1905,14.36,,,8/1/1953,14.36
5/6/1905,14.38,,,9/1/1953,14.38
5/6/1905,14.38,,,10/1/1953,14.38
5/6/1905,14.36,,,11/1/1953,14.36
5/6/1905,14.36,,,12/1/1953,14.36
5/7/1905,14.36,,,1/1/1954,14.36
5/7/1905,14.38,,,2/1/1954,14.38
5/7/1905,14.38,,,3/1/1954,14.38
5/7/1905,14.36,,,4/1/1954,14.36
5/7/1905,14.36,,,5/1/1954,14.36
5/7/1905,14.38,,,6/1/1954,14.38
5/7/1905,14.43,,,7/1/1954,14.43
5/7/1905,14.46,,,8/1/1954,14.46
